Market,ST,MSA,CC Rate,SF/Cap,Med HHI,Sup Gr%,SF Dev,Tax,Crime,Ind Basis,Exit CO,Exit Stab,Yld/Basis,Sc:Rate,Sc:Sat,Sc:HHI,Sc:Grw,Sc:Tax,Sc:Crm,Sc:Bas,Sc:Exit,Score,Rank,Tier
"Morton Grove, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.35,5.72,121707,,,0.04,3100,105,167,239,0.1542857142857143,0.418,0.64,0.767,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Prospect Heights, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.35,6.24,110107,,,0.04,3100,105,167,239,0.1542857142857143,0.418,0.571,0.664,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Grayslake, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.34,3.51,116965,0.4183,207660,0.04,3100,105,167,239,0.15314285714285716,0.407,0.891,0.729,0.06899999999999995,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5639499999999998,829,B
"Hoffman Estates, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.34,5.14,110700,,,0.04,3100,105,167,239,0.15314285714285716,0.407,0.72,0.67,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Round Lake Heights, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.34,4.64,102113,0.0338,20000,0.04,3100,105,167,239,0.15314285714285716,0.407,0.778,0.578,0.819,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5712999999999999,781,B
"Rosemont, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.33,6.19,100588,,,0.04,3100,105,167,239,0.152,0.396,0.581,0.556,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Berkeley, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.33,6.66,101157,,,0.04,3100,105,167,239,0.152,0.396,0.513,0.564,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Lake Zurich, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.33,6.32,155237,0.4021,226201,0.04,3100,105,167,239,0.152,0.396,0.5589999999999999,0.935,0.07499999999999996,0.06499999999999995,0.603,0.6799999999999999,0.612,0.50595,1287,C
"Elmhurst, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.32,7.44,97808,0.0297,66400,0.04,3100,105,167,239,0.15085714285714286,0.383,0.42500000000000004,0.518,0.845,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4942,1378,C
"Deer Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.32,5.1,137042,0.2774,226201,0.04,3100,105,167,239,0.15085714285714286,0.383,0.725,0.871,0.14800000000000002,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5369999999999999,1032,B
"Kildeer, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.32,3.97,136598,0.3187,226201,0.04,3100,105,167,239,0.15085714285714286,0.383,0.851,0.869,0.11699999999999999,0.06499999999999995,0.603,0.6799999999999999,0.612,0.56055,851,B
"Lombard, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.32,5.85,113849,0.0474,80681,0.04,3100,105,167,239,0.15085714285714286,0.383,0.625,0.7,0.744,0.06499999999999995,0.603,0.6799999999999999,0.612,0.53825,1019,B
"Gages Lake, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.32,6.04,126926,0.0847,61942,0.04,3100,105,167,239,0.15085714285714286,0.383,0.598,0.807,0.556,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5287999999999999,1105,C
