Market,ST,MSA,Tier,Score,Rank,lat,lng
"Hornsby Bend, TX",TX,"Austin-Round Rock-San Marcos, TX",D,0.4006499999999999,1884.0,30.26715,-97.74306
"Buda, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.30705,2171.0,30.26715,-97.74306
"San Marcos, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.2281499999999999,2338.0,29.88327,-97.94139
"Leander, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.3144499999999999,2158.0,30.57881,-97.85307
"Briarcliff, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.3157999999999999,2154.0,30.26715,-97.74306
"Cedar Park, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.2969,2196.0,30.5052,-97.82029
"Hutto, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.5427,-97.54667
"Brushy Creek, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.315,2156.0,30.51353,-97.73973
"Liberty Hill, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.26995,2273.0,30.26715,-97.74306
"Georgetown, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.24535,2324.0,30.63269,-97.67723
"Pflugerville, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.2953,2201.0,30.43937,-97.62
"Driftwood, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Round Rock, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.28475,2241.0,30.50826,-97.6789
"Manor, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.2476499999999999,2317.0,30.26715,-97.74306
"Dripping Springs, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.2534,2304.0,30.26715,-97.74306
"Taylor, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.2069,2352.0,30.57076,-97.40944
"Mustang Ridge, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.34265,2072.0,30.26715,-97.74306
"Niederwald, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Smithville, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Florence, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Granger, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Luling, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"McDade, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Thrall, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Bartlett, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Coupland, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Weir, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Sandoval, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Four Points, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Friendship, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Stevensville, MD",MD,"Baltimore-Columbia-Towson, MD",C,0.4728,1542.0,39.29038,-76.61219
"Sykesville, MD",MD,"Baltimore-Columbia-Towson, MD",A,0.6017000000000001,577.0,39.29038,-76.61219
"Eldersburg, MD",MD,"Baltimore-Columbia-Towson, MD",A,0.60035,583.0,39.40371,-76.95026
"Chester, MD",MD,"Baltimore-Columbia-Towson, MD",D,0.43975,1712.0,39.29038,-76.61219
"Grasonville, MD",MD,"Baltimore-Columbia-Towson, MD",D,0.4071,1853.0,39.29038,-76.61219
"Barclay, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Sudlersville, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Westminster, MD",MD,"Baltimore-Columbia-Towson, MD",B,0.5613999999999999,845.0,39.57538,-76.99581
